2021-08-04 08:45:05,580  INFO: 主引擎创建成功
2021-08-04 08:45:05,582  INFO: 注册日志事件监听
2021-08-04 08:45:05,582  INFO: 连接CTP接口
2021-08-04 08:45:05,681  INFO: 行情服务器连接成功
2021-08-04 08:45:05,715  INFO: 行情服务器登录成功
2021-08-04 08:45:05,789  INFO: 交易服务器连接成功
2021-08-04 08:45:06,046  INFO: 交易服务器授权验证成功
2021-08-04 08:45:06,106  INFO: 交易服务器登录成功
2021-08-04 08:45:06,208  INFO: 结算信息确认成功
2021-08-04 08:45:10,947  INFO: 合约信息查询成功
2021-08-04 08:45:16,353  INFO: RQData数据接口初始化成功
2021-08-04 08:45:16,923  INFO: CTA策略引擎初始化成功
2021-08-04 08:45:16,939  INFO: CTA引擎初始化完成
2021-08-04 08:45:16,950  INFO: papertest1开始执行初始化
2021-08-04 08:45:17,908  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-04 08:45:17,910  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:09:00
2021-08-04 08:45:17,912  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.169012769816154, trading_size:4
2021-08-04 08:45:17,914  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-04 08:45:17,917  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:11:00
2021-08-04 08:45:17,918  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.738458673540032, trading_size:4
2021-08-04 08:45:17,921  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-04 08:45:17,922  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:13:00
2021-08-04 08:45:17,923  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.593680229498162, trading_size:4
2021-08-04 08:45:17,925  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
