2021-08-03 00:36:45,651  INFO: 主引擎创建成功
2021-08-03 00:36:45,652  INFO: 注册日志事件监听
2021-08-03 00:36:45,652  INFO: 连接CTP接口
2021-08-03 00:36:45,746  INFO: 行情服务器连接成功
2021-08-03 00:36:45,778  INFO: 行情服务器登录成功
2021-08-03 00:36:45,830  INFO: 交易服务器连接成功
2021-08-03 00:36:46,039  INFO: 交易服务器授权验证成功
2021-08-03 00:36:46,096  INFO: 交易服务器登录成功
2021-08-03 00:36:46,198  INFO: 结算信息确认成功
2021-08-03 00:36:51,732  INFO: 合约信息查询成功
2021-08-03 00:36:56,452  INFO: RQData数据接口初始化成功
2021-08-03 00:36:57,051  INFO: CTA策略引擎初始化成功
2021-08-03 00:36:57,061  INFO: CTA引擎初始化完成
2021-08-03 00:36:57,074  INFO: papertest1开始执行初始化
2021-08-03 00:36:58,000  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:45:00
2021-08-03 00:36:58,000  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.134471772363481, trading_size:4
2021-08-03 00:36:58,001  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-03 00:36:58,002  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:47:00
2021-08-03 00:36:58,002  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.872545963280091, trading_size:4
2021-08-03 00:36:58,003  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-03 00:36:58,003  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:49:00
2021-08-03 00:36:58,004  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.132923609088289, trading_size:4
2021-08-03 00:36:58,005  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-03 00:36:58,006  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:51:00
2021-08-03 00:36:58,007  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.871488518254763, trading_size:4
2021-08-03 00:36:58,007  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-03 00:36:58,008  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:53:00
2021-08-03 00:36:58,009  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.798903868641913, trading_size:4
2021-08-03 00:36:58,010  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-03 00:36:58,011  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:55:00
2021-08-03 00:36:58,011  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.565454168010907, trading_size:4
2021-08-03 00:36:58,016  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-03 00:36:58,018  INFO: [papertest1]  clearance time, on_bar_time:14:57:00
2021-08-03 00:36:58,019  INFO: [papertest1]  clearance time, no previous commission, self.pos:0
2021-08-03 00:36:58,021  INFO: [papertest1]  clearance time, on_bar_time:14:58:00
2021-08-03 00:36:58,022  INFO: [papertest1]  clearance time, no previous commission, self.pos:0
2021-08-03 00:36:58,024  INFO: [papertest1]  clearance time, on_bar_time:14:59:00
2021-08-03 00:36:58,025  INFO: [papertest1]  clearance time, no previous commission, self.pos:0
2021-08-03 00:36:58,026  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:21:01:00
2021-08-03 00:36:58,028  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.052857770542067, trading_size:4
2021-08-03 00:36:58,029  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:21:03:00
2021-08-03 00:36:58,030  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.88174689608852, trading_size:4
2021-08-03 00:36:58,032  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:58,033  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:21:05:00
2021-08-03 00:36:58,035  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.22497046708876, trading_size:4
2021-08-03 00:36:58,036  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:58,037  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:21:07:00
2021-08-03 00:36:58,038  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.372860944958601, trading_size:4
2021-08-03 00:36:58,039  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:21:09:00
2021-08-03 00:36:58,040  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.258455866212051, trading_size:4
2021-08-03 00:36:58,041  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:21:11:00
2021-08-03 00:36:58,042  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.320362228951327, trading_size:4
